type,content,optionA,optionB,optionC,optionD,answer,difficulty,knowledgePoint,score,analysis
single,Java中main方法的返回值类型是？,void,int,String,boolean,A,easy,Java基础,5,Java程序的入口main方法固定使用void无返回值类型，由JVM调用执行。
single,Java中下列哪个关键字用于定义类？,class,interface,enum,extends,A,easy,Java基础,5,Java中使用class关键字定义普通类，interface定义接口，enum定义枚举类。
single,Java中下列哪个是基本数据类型？,String,Integer,int,ArrayList,C,easy,Java基础,5,int是Java的8大基本数据类型之一，String、Integer、ArrayList都属于引用类型。
single,Java中for循环的核心作用是？,条件判断,循环执行代码块,函数调用,异常捕获,B,easy,Java基础,5,for循环是Java中常用的循环结构，用于重复执行指定的代码块，直到循环条件不满足。
single,Java中下列哪个关键字用于抛出异常？,throw,throws,try,catch,A,easy,Java基础,5,throw用于手动抛出单个异常对象，throws用于在方法上声明可能抛出的异常类型。
single,Java中String类的核心特性是？,可变,不可变,可继承,可序列化,B,easy,Java基础,5,Java中的String类是不可变类，一旦创建就无法修改其内容，修改会生成新的String对象。
single,Java中下列哪个是集合框架的顶层接口？,Collection,List,Set,Map,A,easy,Java基础,5,Collection是Java集合框架的顶层接口，List、Set是其子接口，Map是独立的顶层接口。
single,Java中下列哪个关键字用于实现线程同步？,synchronized,volatile,static,final,A,easy,Java基础,5,synchronized是Java中最常用的线程同步关键字，可修饰方法或代码块，保证同一时间只有一个线程执行。
single,Java中下列哪个方法是Object类的核心方法？,toString(),main(),run(),start(),A,easy,Java基础,5,toString()是Object类中定义的方法，所有类都默认继承，用于返回对象的字符串表示形式。
single,Java中下列哪个关键字用于定义常量？,final,static,const,private,A,easy,Java基础,5,final关键字可用于修饰类、方法、变量，修饰变量时表示该变量为常量，不可被重新赋值。
single,Java中List接口的典型实现类是？,ArrayList,HashMap,HashSet,LinkedList,A,easy,Java基础,5,ArrayList是List接口最常用的实现类，基于动态数组实现，适合随机访问场景。
single,Java中下列哪个是面向对象的核心特性？,封装,多态,继承,以上都是,D,easy,Java基础,5,面向对象的三大核心特性是封装、继承、多态，Java是纯面向对象语言。
single,Java中下列哪个关键字用于创建对象？,new,class,instanceof,this,A,easy,Java基础,5,new关键字用于调用类的构造方法，创建类的实例对象，是Java中创建对象的核心方式。
single,Java中下列哪个是异常处理的核心关键字？,try,catch,finally,以上都是,D,easy,Java基础,5,try-catch-finally是Java异常处理的核心结构，try包裹可能异常的代码，catch捕获异常，finally保证代码一定执行。
single,Java中下列哪个数据类型的取值范围最大？,int,long,float,double,D,medium,Java基础,5,double是双精度浮点型，取值范围和精度都远大于int、long、float，是Java中数值范围最大的基本类型。
single,HTTP协议的默认端口号是？,80,443,8080,3306,A,easy,计算机网络,5,HTTP协议默认使用80端口，HTTPS加密协议默认使用443端口。
single,HTTPS和HTTP的核心区别是？,加密传输,端口不同,请求方式不同,无区别,A,easy,计算机网络,5,HTTPS是HTTP+SSL/TLS加密，传输过程中的数据会被加密，安全性远高于HTTP明文传输。
single,HTTP状态码200表示？,请求成功,资源未找到,服务器错误,重定向,A,easy,计算机网络,5,HTTP 200状态码表示请求已成功被服务器处理，返回了正常的响应内容。
single,HTTP状态码404表示？,资源未找到,请求成功,服务器错误,权限不足,A,easy,计算机网络,5,HTTP 404状态码表示服务器无法找到请求的资源，通常是路径错误或资源已删除。
single,HTTP状态码500表示？,服务器内部错误,请求成功,资源未找到,重定向,A,easy,计算机网络,5,HTTP 500状态码表示服务器在处理请求时发生了未预期的错误，无法完成请求。
single,HTTP请求中GET和POST的核心区别是？,GET参数在URL中，POST在请求体中,GET有请求体，POST没有,GET更安全,GET能发送大量数据,A,easy,计算机网络,5,GET请求的参数直接拼接在URL中，长度有限且可见；POST请求的参数放在请求体中，更安全且无长度限制。
single,HTTP协议属于OSI模型的哪一层？,应用层,传输层,网络层,数据链路层,A,medium,计算机网络,5,HTTP协议是应用层协议，基于传输层的TCP协议实现，是互联网中应用最广泛的应用层协议。
