subject,type,content,optionA,optionB,optionC,optionD,answer,analysis,difficulty,knowledgePoint,score,createdBy,createdTime
Java,单选题,"Java语言属于什么类型语言？","面向过程","面向对象","函数式","逻辑型",B,"Java是典型的面向对象高级编程语言",简单,Java基础概述,2,1,"2026-07-15 11:00:00"
Java,单选题,"下列关键字中，用于定义类的是？","function","class","struct","define",B,"class用来声明Java类",简单,类定义关键字,2,1,"2026-07-15 11:00:00"
Java,单选题,"Java程序入口方法名称为？","main","Main","run","start",A,"程序入口固定为public static void main(String[] args)",简单,程序入口,2,1,"2026-07-15 11:00:00"
Java,单选题,"下面不属于Java基本数据类型的是？","int","boolean","String","double",C,"String是引用类型，不属于八大基本类型",简单,基本数据类型,2,1,"2026-07-15 11:00:00"
Java,单选题,"int类型占用多少字节内存？","1字节","2字节","4字节","8字节",C,"int：4字节；byte1 short2 long8",简单,基本类型内存,2,1,"2026-07-15 11:00:00"
Java,单选题,"boolean类型取值正确的是？","0/1","true/false","'真'/'假'","yes/no",B,"Java布尔值只有true、false，不能用数字替代",简单,boolean类型,2,1,"2026-07-15 11:00:00"
Java,单选题,"下列运算符中代表逻辑与的是？","&","&&","||","|",B,"&&短路与，||短路或；&位与",简单,逻辑运算符,2,1,"2026-07-15 11:00:00"
Java,单选题,"==可以用来比较两个String对象的？","字符串内容","地址引用","字符串长度","字符编码",B,"==比较地址；equals()比较字符串内容",简单,==与equals区别,2,1,"2026-07-15 11:00:00"
Java,单选题,"下列访问修饰符权限最大的是？","private","protected","public","默认不写",C,"public>protected>默认>private",简单,访问修饰符,2,1,"2026-07-15 11:00:00"
Java,单选题,"private修饰的成员变量可以访问范围？","本类内部","同包所有类","子类","任意类",A,"private仅当前类内部可见",简单,private权限,2,1,"2026-07-15 11:00:00"
Java,单选题,"Java中继承使用哪个关键字？","implements","extends","super","this",B,"extends实现类继承；implements实现接口",简单,继承关键字,2,1,"2026-07-15 11:00:00"
Java,单选题,"实现接口使用哪个关键字？","extends","super","implements","interface",C,"类 implements 接口",简单,接口实现,2,1,"2026-07-15 11:00:00"
Java,单选题,"this关键字代表什么？","父类对象","当前类实例对象","静态对象","全局对象",B,"this指代当前对象；super代表父类",简单,this关键字,2,1,"2026-07-15 11:00:00"
Java,单选题,"super关键字作用是？","访问当前对象","访问父类成员","访问静态变量","访问局部变量",B,"super调用父类构造、属性、方法",简单,super关键字,2,1,"2026-07-15 11:00:00"
Java,单选题,"Java一个类可以直接继承几个父类？","多个","最多两个","只能一个","无限个",C,"Java不支持多继承，单继承机制",中等,单继承特性,3,1,"2026-07-15 11:00:00"
Java,单选题,"Java中接口是否可以有普通实例方法？（Java8以前）","可以","不可以","只能静态方法","只能私有方法",B,"JDK8之前接口只能存在抽象方法",中等,接口特性,3,1,"2026-07-15 11:00:00"
Java,单选题,"final修饰变量，表示变量？","可以多次赋值","只能赋值一次","不能赋值","自动赋值",B,"final变量一旦初始化，不可修改",简单,final关键字,2,1,"2026-07-15 11:00:00"
Java,单选题,"final修饰类代表？","可以被继承","不能被继承","可以重写方法","可以实例化多个对象",B,"final类禁止继承，不能有子类",简单,final类,2,1,"2026-07-15 11:00:00"
Java,单选题,"final修饰方法作用？","方法重载","禁止方法重写","方法自动执行","方法静态化",B,"final方法不能被子类重写",简单,final方法,2,1,"2026-07-15 11:00:00"
Java,单选题,"static修饰的方法称为？","实例方法","静态方法","构造方法","抽象方法",B,"static属于类，直接类名.方法名调用",简单,static基础,2,1,"2026-07-15 11:00:00"
Java,单选题,"静态方法内部能否直接调用实例方法？","能","不能","传参就可以","子类可以",B,"静态方法不依赖对象，不能直接访问实例成员",中等,静态与实例区别,3,1,"2026-07-15 11:00:00"
Java,单选题,"Java构造方法特点描述正确的是？","有返回值","方法名和类名相同","可以手动调用多次","可以有static修饰",B,"构造方法无返回值，名称和类名一致",简单,构造方法,2,1,"2026-07-15 11:00:00"
Java,单选题,"方法重载要求什么条件？","方法名相同，参数列表不同","参数相同，方法名不同","返回类型必须不同","修饰符必须不同",A,"重载：同名不同参，和返回值无关",简单,方法重载,2,1,"2026-07-15 11:00:00"
Java,单选题,"方法重写发生在什么场景？","同一个类内部","父子继承类之间","接口内部","静态方法之间",B,"重写(覆盖)存在于继承体系子类重写父类方法",简单,方法重写,2,1,"2026-07-15 11:00:00"
Java,单选题,"下列不属于面向对象三大特征的是？","封装","继承","指针","多态",C,"三大特征：封装、继承、多态",简单,面向对象特性,2,1,"2026-07-15 11:00:00"
Java,单选题,"多态的核心前提不包含？","继承/实现","方法重写","父类引用指向子类对象","使用static方法",D,"static方法不存在多态",中等,多态条件,3,1,"2026-07-15 11:00:00"
Java,单选题,"抽象类使用哪个关键字定义？","interface","abstract","static","final",B,"abstract class 抽象类",简单,抽象类定义,2,1,"2026-07-15 11:00:00"
Java,单选题,"包含抽象方法的类必须声明为？","普通类","静态类","抽象类","内部类",C,"有抽象方法，类必须abstract修饰",简单,抽象类规则,2,1,"2026-07-15 11:00:00"
Java,单选题,"抽象类能否直接new创建对象？","能","不能","只有无参构造可以","静态抽象类可以",B,"抽象类不能实例化，只能被继承",简单,抽象类实例化,2,1,"2026-07-15 11:00:00"
Java,单选题,"数组int[] arr = new int[5];数组默认初始值是？","null","0","0.0","false",B,"整型数组默认值0；引用类型默认null",简单,数组默认值,2,1,"2026-07-15 11:00:00"
Java,单选题,"获取数组长度使用？","arr.length()","arr.length","arr.size()","arr.getLength()",B,"数组:length属性；集合:length()/size()",简单,数组长度,2,1,"2026-07-15 11:00:00"
Java,单选题,"ArrayList属于哪个包？","java.io","java.util","java.lang","java.sql",B,"集合框架都在java.util包",简单,集合包路径,2,1,"2026-07-15 11:00:00"
Java,单选题,"ArrayList底层数据结构是？","双向链表","数组","红黑树","哈希表",B,"ArrayList底层动态数组；LinkedList双向链表",简单,ArrayList底层,2,1,"2026-07-15 11:00:00"
Java,单选题,"LinkedList底层结构？","数组","单向链表","双向链表","栈",C,"LinkedList双向循环链表",简单,LinkedList底层,2,1,"2026-07-15 11:00:00"
Java,单选题,"HashMap底层主要结构（JDK1.8）？","单纯数组","数组+单向链表+红黑树","纯红黑树","双向链表",B,"1.8：数组+链表，长度超过8转为红黑树",中等,HashMap底层,3,1,"2026-07-15 11:00:00"
Java,单选题,"HashMap允许key为null的数量？","不允许","最多1个","最多2个","任意多个",B,"HashMap只允许一个key为null",中等,HashMap特性,3,1,"2026-07-15 11:00:00"
Java,单选题,"HashTable和HashMap区别正确的是？","HashTable线程不安全","HashTable线程安全","HashMap不能存null","HashMap继承Dictionary",B,"HashTable方法加synchronized，线程安全",中等,HashMap与HashTable,3,1,"2026-07-15 11:00:00"
Java,单选题,"List集合特点？","元素无序不可重复","元素有序可重复","键值对存储","元素自动排序",B,"List有序、允许重复元素",简单,List特征,2,1,"2026-07-15 11:00:00"
Java,单选题,"Set集合主要特点？","有序可重复","无序不重复","键值存储","支持下标访问",B,"Set集合元素不允许重复",简单,Set特征,2,1,"2026-07-15 11:00:00"
Java,单选题,"异常处理中捕获异常关键字？","try","catch","throw","throws",B,"try监控代码，catch捕获异常",简单,异常关键字,2,1,"2026-07-15 11:00:00"
Java,单选题,"throws关键字作用位置？","方法内部","方法声明处","循环内部","变量定义处",B,"throws写在方法签名，声明抛出异常",简单,throws作用,2,1,"2026-07-15 11:00:00"
Java,单选题,"throw作用是？","声明异常类型","手动抛出异常对象","捕获异常","最终执行代码",B,"throw主动抛出异常实例",简单,throw关键字,2,1,"2026-07-15 11:00:00"
Java,单选题,"finally代码块特点？","一定不会执行","异常才执行","无论是否异常几乎都会执行","只有无异常执行",C,"finally正常情况必定执行，常用于释放资源",简单,finally特性,2,1,"2026-07-15 11:00:00"
Java,单选题,"下列属于运行时异常的是？","IOException","SQLException","NullPointerException","FileNotFoundException",C,"空指针属于RuntimeException，无需显式捕获",中等,受检/运行时异常区分,3,1,"2026-07-15 11:00:00"
Java,单选题,"Java垃圾回收器主要回收？","栈内存对象","堆内存对象","方法区常量","寄存器数据",B,"GC只回收堆中不再使用的对象",简单,GC回收区域,2,1,"2026-07-15 11:00:00"
Java,单选题,"开发者不能主动立刻执行GC，只能建议调用方法？","System.gc()","Runtime.destroy()","Object.finalize()","GC.run()",A,"System.gc()只是建议JVM执行垃圾回收",简单,GC调用,2,1,"2026-07-15 11:00:00"
Java,单选题,"基本类型对应的包装类int对应？","Integer","Int","INT","Double",A,"int→Integer；char→Character",简单,包装类,2,1,"2026-07-15 11:00:00"
Java,单选题,"自动装箱指？","Integer转int","int转Integer","String转int","int转String",B,"装箱：基本类型→包装类；拆箱相反",简单,装箱拆箱,2,1,"2026-07-15 11:00:00"
Java,单选题,"String类被哪个关键字修饰不能被继承？","static","abstract","final","protected",C,"public final class String，不可继承",简单,String特性,2,1,"2026-07-15 11:00:00"
Java,单选题,"String字符串内容修改本质是？","修改原字符串","产生新字符串对象","直接修改常量池","修改数组引用",B,"字符串不可变，修改会新建对象",中等,字符串不可变性,3,1,"2026-07-15 11:00:00"
Java,单选题,"高效率拼接大量字符串推荐使用？","String直接+","StringBuilder","char[]","ByteStream",B,"StringBuilder可变字符序列，适合频繁拼接",简单,StringBuilder使用,2,1,"2026-07-15 11:00:00"
Java,单选题,"StringBuilder和StringBuffer区别？","StringBuffer线程安全","StringBuilder线程安全","StringBuffer速度更快","StringBuffer不可变",A,"StringBuffer方法加同步锁，线程安全",中等,Builder与Buffer区别,3,1,"2026-07-15 11:00:00"
Java,单选题,"Java中实现多线程第一种方式：继承哪个类？","Runnable","Thread","Callable","Future",B,"继承Thread类重写run()",简单,线程创建方式,2,1,"2026-07-15 11:00:00"
Java,单选题,"实现Runnable接口需要重写哪个方法？","start()","run()","execute()","call()",B,"run()为线程执行任务方法",简单,Runnable接口,2,1,"2026-07-15 11:00:00"
Java,单选题,"启动线程调用方法是？","run()","start()","go()","begin()",B,"start()向操作系统创建线程；直接调用run只是普通方法",中等,start与run区别,3,1,"2026-07-15 11:00:00"
Java,单选题,"synchronized关键字作用？","实现线程同步锁","启动线程","销毁线程","创建线程池",A,"synchronized解决多线程共享数据并发安全",简单,同步锁,2,1,"2026-07-15 11:00:00"
Java,单选题,"volatile关键字作用主要是保证？","原子性","可见性","数据库事务","对象序列化",B,"volatile保证变量多线程可见性，不保证原子性",困难,volatile,4,1,"2026-07-15 11:00:00"
Java,单选题,"线程状态不包含以下哪种？","新建","就绪","休眠","销毁",D,"线程状态：新建、就绪、运行、阻塞、终止",中等,线程生命周期,3,1,"2026-07-15 11:00:00"
Java,单选题,"try-with-resources语句主要用于自动关闭？","线程","实现AutoCloseable的资源","集合对象","基本变量",B,"流、连接等资源自动释放，无需finally",中等,try-with-resources,3,1,"2026-07-15 11:00:00"
Java,单选题,"IO流分为字节流和？","网络流","字符流","文件流","内存流",B,"InputStream字节流；Reader字符流",简单,IO流分类,2,1,"2026-07-15 11:00:00"
Java,单选题,"字节流顶层抽象父类？","Reader/Writer","InputStream/OutputStream","File","Buffer",B,"InputStream、OutputStream字节流根类",简单,IO顶层父类,2,1,"2026-07-15 11:00:00"
Java,单选题,"字符流顶层父类？","InputStream","Reader","FileInputStream","ObjectStream",B,"Reader、Writer字符流顶层抽象类",简单,字符流父类,2,1,"2026-07-15 11:00:00"
Java,单选题,"File类作用是？","读取文件内容","操作文件/目录路径信息","文件写入","拷贝文件",B,"File不能读写内容，只代表文件路径",中等,File类功能,3,1,"2026-07-15 11:00:00"
Java,单选题,"序列化需要实现哪个标记接口？","Cloneable","Serializable","Comparable","Iterator",B,"实现Serializable支持对象IO序列化",简单,序列化接口,2,1,"2026-07-15 11:00:00"
Java,单选题,"transient修饰字段序列化时会？","正常保存","被忽略自动不序列化","赋值为0","转为字符串",B,"transient临时变量，序列化被排除",中等,transient关键字,3,1,"2026-07-15 11:00:00"
Java,单选题,"Java泛型<T>本质作用是？","加快运行速度","编译期类型检查，避免强转异常","创建基本类型","自动生成对象",B,"泛型实现类型约束，编译校验类型",中等,泛型作用,3,1,"2026-07-15 11:00:00"
Java,单选题,"下列循环中支持遍历集合、数组增强循环是？","for(int i=0;;)","for(变量:集合)","while()","do while()",B,"增强for循环 for(元素 : 容器)",简单,增强for循环,2,1,"2026-07-15 11:00:00"
Java,单选题,"==运算符对于基本类型比较？","地址","值内容","哈希值","长度",B,"基本类型==比较数值；引用类型比较地址",简单,==基础类型,2,1,"2026-07-15 11:00:00"
Java,单选题,"接口中定义常量默认修饰符组合？","private static final","public static final","protected static final","static",B,"接口常量默认 public static final",中等,接口常量修饰符,3,1,"2026-07-15 11:00:00"
Java,单选题,"JDK,JRE,JVM关系描述正确？","JDK包含JRE","JRE包含JDK","JVM包含JDK","JDK属于JVM",A,"JDK=开发工具+JRE；JRE=类库+JVM",中等,JDK/JRE/JVM关系,3,1,"2026-07-15 11:00:00"
Java,单选题,"Java源代码文件后缀？","class","java","jar","exe",B,".java源码；编译后生成.class字节码",简单,文件后缀,2,1,"2026-07-15 11:00:00"
Java,单选题,"Java编译之后生成文件后缀？",".java",".class",".jar",".bin",B,"javac编译得到字节码.class文件",简单,字节码文件,2,1,"2026-07-15 11:00:00"
Java,单选题,"哪个命令运行Java字节码程序？","javac","java","javadoc","jar",B,"javac编译；java执行程序",简单,jdk命令,2,1,"2026-07-15 11:00:00"
Java,单选题,"Java跨平台依靠什么？","操作系统","JVM虚拟机","CPU架构","编译器",B,"一次编译到处运行，依托JVM虚拟机",简单,跨平台原理,2,1,"2026-07-15 11:00:00"
Java,单选题,"package关键字作用？","导入类","定义包名","创建对象","继承类",B,"package声明当前类所属包",简单,package包,2,1,"2026-07-15 11:00:00"
Java,单选题,"import关键字作用？","定义包","导入其他包中的类","定义接口","创建泛型",B,"import引入外部包类",简单,import导入,2,1,"2026-07-15 11:00:00"
Java,单选题,"默认基础包，所有类自动导入无需import？","java.util","java.io","java.lang","java.sql",C,"java.lang包自动导入(String、Object等)",简单,自动导入包,2,1,"2026-07-15 11:00:00"
Java,单选题,"所有Java类直接或间接继承的根类是？","Base","Object","Root","Class",B,"Object是顶层父类，所有类的祖先",简单,Object类,2,1,"2026-07-15 11:00:00"
Java,单选题,"Object类哪个方法用于比较对象内容，常重写？","toString()","equals()","hashCode()","clone()",B,"原生equals比较地址，一般重写实现内容对比",简单,Object常用方法,2,1,"2026-07-15 11:00:00"
Java,单选题,"hashCode()方法返回数据类型？","String","int","long","boolean",B,"hashCode返回int整型哈希值",简单,hashCode返回值,2,1,"2026-07-15 11:00:00"
Java,单选题,"toString()默认返回内容是？","对象属性拼接","类名@内存地址哈希","空字符串","对象所有字段",B,"默认格式：类名@十六进制哈希地址",简单,toString默认实现,2,1,"2026-07-15 11:00:00"
Java,单选题,"下列不能作为Java变量名的是？","userName","age","1num","_id",C,"标识符不能数字开头",简单,标识符命名规则,2,1,"2026-07-15 11:00:00"
Java,单选题,"下列属于Java合法注释单行注释？","<!-- -->","/* */","//",""""",C,"//单行；/* */多行注释",简单,注释写法,2,1,"2026-07-15 11:00:00"
Java,单选题,"switch语句支持下列哪个基本类型(JDK7前)？","long","double","char","float",C,"早期switch支持byte short char int，1.7增加String",中等,switch支持类型,3,1,"2026-07-15 11:00:00"
Java,单选题,"continue关键字作用？","终止整个循环","跳过本次循环剩余语句，进入下一轮","跳出switch","结束方法",B,"continue跳过当前这一次循环",简单,continue作用,2,1,"2026-07-15 11:00:00"
Java,单选题,"break关键字作用描述正确？","只能跳出if","跳出当前循环或switch","继续循环","终止程序",B,"break跳出最近一层循环/switch分支",简单,break关键字,2,1,"2026-07-15 11:00:00"
Java,单选题,"Math.round(3.6)结果是？","3","4","3.5","3.0",B,"round四舍五入取整",简单,Math工具方法,2,1,"2026-07-15 11:00:00"
Java,单选题,"接口中默认方法使用哪个关键字(JDK8)？","static","default","private","final",B,"default修饰接口默认实例方法",中等,接口default方法,3,1,"2026-07-15 11:00:00"
Java,单选题,"Lambda表达式主要用来简化哪种接口？","普通接口","函数式接口","标记接口","序列化接口",B,"Lambda只支持仅有一个抽象方法的函数式接口",中等,Lambda基础,3,1,"2026-07-15 11:00:00"
Java,单选题,"函数式接口注解是？","@Override","@FunctionalInterface","@Deprecated","@SuppressWarnings",B,"@FunctionalInterface校验函数式接口",简单,函数式注解,2,1,"2026-07-15 11:00:00"
Java,单选题,"Stream流主要用于操作什么？","IO文件流","集合数据处理","网络数据流","线程数据流",B,"java.util.stream用于集合链式处理",中等,Stream作用,3,1,"2026-07-15 11:00:00"
Java,单选题,"Java中创建常量推荐使用？","普通变量","static final变量","static变量","final局部变量",B,"static final全局常量",简单,常量定义,2,1,"2026-07-15 11:00:00"
Java,单选题,"单元测试主流框架JUnit测试方法注解？","@Test","@TestUnit","@Check","@TestMethod",A,"@Test标识测试方法",简单,JUnit基础,2,1,"2026-07-15 11:00:00"
Java,单选题,"集合遍历并发修改异常ConcurrentModificationException常出现于？","普通for循环","增强for循环删除元素","while循环","递归遍历",B,"迭代器遍历集合直接remove触发并发修改异常",困难,并发修改异常,4,1,"2026-07-15 11:00:00"
Java,单选题,"下列属于值传递语言，Java方法参数传递全部是？","引用传递","值传递","地址传递","指针传递",B,"Java只有值传递，对象传递的是引用副本",困难,值传递特性,4,1,"2026-07-15 11:00:00"
