subject,type,content,optionA,optionB,optionC,optionD,answer,analysis,difficulty,knowledgePoint,score,createdBy,createdTime
高等数学,单选题,"函数$f(x)=\dfrac{1}{\sqrt{x-2}}$ 的定义域为（）","$x\ge2$","$x>2$","$x<2$","$x\le2$",B,"根式分母要求$x-2>0$，解得$x>2$",简单,函数定义域,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x \to 0}\dfrac{\sin x}{x}=$（）","0","1","$\infty$","不存在",B,"第一个重要极限标准形式，极限等于1",简单,重要极限,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to\infty}(1+\dfrac{1}{x})^x=$（）","1","0","$e$","$\infty$",C,"第二个重要极限，极限结果为自然常数e",简单,重要极限,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=\sin(2x)$ 的导数 $y'=$（）","$\cos2x$","$2\cos2x$","$\dfrac12\cos2x$","$-\cos2x$",B,"复合函数求导：$(\sin2x)'=\cos2x \cdot (2x)'=2\cos2x$",简单,复合函数求导,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=x^3$，则二阶导数$y''=$（）","$3x^2$","$6x$","$6$","$0$",B,"一阶导数$y'=3x^2$，再次求导$y''=6x$",简单,高阶导数,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"函数 $y=|x|$ 在 $x=0$ 处（）","可导","连续不可导","不连续","极限不存在",B,"左导数=-1，右导数=1，左右导数不等不可导；函数值等于极限，连续",中等,连续与可导关系,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int x^2 dx=$（）","$2x+C$","$\dfrac13x^3+C$","$x^3+C$","$\dfrac12x^2+C$",B,"幂函数积分公式$\int x^n dx=\dfrac{x^{n+1}}{n+1}+C$，n=2代入",简单,不定积分基本公式,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int \cos x dx=$（）","$\sin x+C$","$-\sin x+C$","$\cos x+C$","$-\cos x+C$",A,"$(\sin x)'=\cos x$，由导数逆运算可得",简单,基本积分公式,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to1}\dfrac{x^2-1}{x-1}=$（）","0","1","2","不存在",C,"因式分解$x^2-1=(x-1)(x+1)$，约去因子后代入x=1得到2",中等,极限化简计算,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=e^{3x}$ 导数为（）","$e^{3x}$","$3e^{3x}$","$\dfrac13e^{3x}$","$3xe^{3x}$",B,"复合求导：$(e^{3x})'=e^{3x}\cdot 3$",简单,指数函数求导,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"下列函数为奇函数的是（）","$y=x^2$","$y=\sin x$","$y=\cos x$","$y=e^x$",B,"$\sin(-x)=-\sin x$，满足奇函数定义$f(-x)=-f(x)$",中等,函数奇偶性,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"若 $f'(x_0)=0$，则 $x_0$ 称为函数的（）","零点","驻点","间断点","拐点",B,"导数等于0的点定义为驻点",简单,驻点定义,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int \dfrac1x dx=$（）","$\dfrac{1}{x^2}+C$","$\ln|x|+C$","$\ln x+C$","$-\dfrac1{x^2}+C$",B,"原函数必须带绝对值，定义域包含正负x",简单,不定积分,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to0} x\sin\dfrac1x=$（）","1","0","$\infty$","不存在",B,"无穷小量乘以有界函数，结果仍然是无穷小，极限为0",中等,无穷小性质,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=\ln(1+x)$ 导数是（）","$\dfrac{1}{1+x}$","$-\dfrac{1}{1+x}$","$\ln(1+x)$","$\dfrac{1}{x}$",A,"$[\ln u]'=\dfrac{u'}{u}$，u=1+x",简单,对数函数求导,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"函数 $f(x)$ 在 $x_0$ 可导是在 $x_0$ 连续的（）","充分不必要条件","必要不充分条件","充要条件","既不充分也不必要",A,"定理：可导一定连续，连续不一定可导",中等,可导与连续逻辑关系,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int \sin x dx=$（）","$\sin x+C$","$-\sin x+C$","$\cos x+C$","$-\cos x+C$",D,"$(-\cos x)'=\sin x$",简单,三角函数积分,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to2}(x^2+3x)=$（）","10","4","6","14",A,"初等函数连续，直接代入x=2计算 4+6=10",简单,连续函数极限,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=x\ln x$ 的导数为（）","$\ln x$","$\ln x+1$","$x+\ln x$","1",B,"乘积求导法则：$(x\ln x)'=\ln x + x\cdot\dfrac1x=\ln x+1$",中等,乘积求导法则,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"曲线$y=x^2$在x=1处切线斜率为（）","1","2","0","3",B,"$y'=2x$，代入x=1得到斜率k=2",简单,导数几何意义,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"下列函数为偶函数的是（）","$y=x^3$","$y=\cos x$","$y=\sin x$","$y=x$",B,"$\cos(-x)=\cos x$，满足偶函数定义$f(-x)=f(x)$",中等,函数奇偶性,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x \to \infty}\dfrac{2x+1}{x}=$（）","0","1","2","$\infty$",C,"分子分母同除以x，极限结果等于2",中等,无穷大极限计算,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=\cos3x$ 的导数为（）","$3\sin3x$","$-3\sin3x$","$\sin3x$","$-\sin3x$",B,"复合求导：$(\cos3x)'=-\sin3x\cdot3=-3\sin3x$",简单,复合函数求导,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int e^x dx=$（）","$e^x$","$e^x+C$","$xe^x+C$","$\dfrac{1}{e^x}+C$",B,"$(e^x)'=e^x$，不定积分必须加常数C",简单,指数函数积分,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to0}\dfrac{\tan x}{x}=$（）","0","1","2","不存在",B,"等价无穷小：$x\to0,\tan x \sim x$，极限为1",中等,等价无穷小,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"函数$y=\sqrt{4-x^2}$定义域为（）","$x\ge2$","$-2\le x \le2$","$x>2$","$x<-2$",B,"$4-x^2\ge0 \Rightarrow x^2\le4$，解得$-2\le x\le2$",简单,函数定义域,2,1,"2026-07-15 10:00:00"
