subject,type,content,optionA,optionB,optionC,optionD,answer,analysis,difficulty,knowledgePoint,score,createdBy,createdTime
数据结构,单选题,算法的时间复杂度是指？,算法执行指令条数,算法处理数据规模增长时运行时间增长趋势,算法程序代码长度,算法运算占用内存大小,B,时间复杂度衡量随数据量n增大，运行时间变化趋势，不统计精确时间,简单,时间复杂度概念,2,1,"2026-07-15 15:00:00"
数据结构,单选题,下列时间复杂度最优的是？,O(n²),O(log n),O(n),O(2ⁿ),B,O(log n)对数级效率高于线性、平方阶,简单,复杂度对比,2,1,"2026-07-15 15:00:00"
数据结构,单选题,顺序表随机访问的时间复杂度？,O(1),O(n),O(log n),O(nlogn),A,顺序存储依靠下标直接寻址，随机访问常量时间,简单,顺序表特性,2,1,"2026-07-15 15:00:00"
数据结构,单选题,单链表查找指定元素最坏时间复杂度？,O(1),O(logn),O(n),O(n²),C,单链表只能从头依次遍历，最坏遍历全部节点,简单,单链表查找,2,1,"2026-07-15 15:00:00"
数据结构,单选题,栈不支持以下哪个操作？,尾部入栈,栈顶弹出,栈顶读取,随机访问中间元素,D,栈只能操作栈顶，无法直接访问内部元素,简单,栈操作限制,2,1,"2026-07-15 15:00:00"
数据结构,单选题,利用栈不能实现的功能是？,表达式求值,函数调用栈,先进先出队列,括号匹配校验,C,队列特性先进先出，栈先进后出，不能原生实现,中等,栈典型应用,2,1,"2026-07-15 15:00:00"
数据结构,单选题,循环队列判满常用方法？,设置标志位,牺牲一个存储单元,A和B均可,无法判满,C,两种主流方案：标志变量、空出一格区分空/满,中等,循环队列判满,3,1,"2026-07-15 15:00:00"
数据结构,单选题,若front==rear，循环队列状态？,一定为空,一定为满,可能空可能满,队列异常,C,不增设标记时，相等无法区分空与满,中等,循环队列边界,3,1,"2026-07-15 15:00:00"
数据结构,单选题,链式队列相比于顺序循环队列优势？,访问速度更快,不存在容量上限溢出问题,占用内存更少,支持随机访问,B,链式结构动态分配节点，理论无固定容量,简单,链式队列特点,2,1,"2026-07-15 15:00:00"
数据结构,单选题,以下属于非线性结构的是？,队列,二叉树,顺序表,栈,B,树、图属于非线性；栈、队列、数组线性结构,简单,线性非线性区分,2,1,"2026-07-15 15:00:00"
数据结构,单选题,双向链表相比于单链表最大优势？,占用空间更小,可以从任意节点访问前驱节点,查找速度O(1),连续内存存储,B,单链表只能向后遍历；双向链表存前驱指针,简单,双向链表特性,2,1,"2026-07-15 15:00:00"
数据结构,单选题,在链表已知节点p之后插入新节点s顺序正确？,p.next=s;s.next=p.next,s.next=p.next;p.next=s,s.next=p.next;p.next=s.next,s=p;p.next=s,B,先把s指向后继，再修改p的后继指向s，防止断链,中等,链表插入操作,3,1,"2026-07-15 15:00:00"
数据结构,单选题,稀疏矩阵适合采用哪种存储？,顺序存储,三元组表,双向链表,平衡二叉树,B,三元组只存储（行、列、值）非零元素，节省空间,简单,稀疏矩阵存储,2,1,"2026-07-15 15:00:00"
数据结构,单选题,字符串"abcde"子串数量？,5,10,15,20,C,长度1:5 长度2:4 长度3:3 长度4:2 长度5:1 总和15,中等,字符串子串计算,3,1,"2026-07-15 15:00:00"
数据结构,单选题,KMP算法主要解决什么问题？,数组排序,模式串匹配,最短路径,最小生成树,B,KMP字符串模式匹配，优化暴力匹配,简单,KMP作用,2,1,"2026-07-15 15:00:00"
数据结构,单选题,一棵二叉树第i层最多节点数目？,i,2^(i-1),2^i-1,2*i,B,二叉树性质：第i层最多2^(i-1)个结点,简单,二叉树性质,2,1,"2026-07-15 15:00:00"
数据结构,单选题,高度为h的二叉树最多节点总数？,h²,2^h -1,2h,2^h,B,满二叉树结点总数公式2^h -1,简单,满二叉树结点数,2,1,"2026-07-15 15:00:00"
数据结构,单选题,二叉树叶子结点特征？,只有左孩子,只有右孩子,左右孩子均为空,根节点,C,叶子结点：度为0，无左右子节点,简单,叶子结点定义,2,1,"2026-07-15 15:00:00"
数据结构,单选题,二叉树前序遍历顺序？,根→左→右,左→根→右,左→右→根,根→右→左,A,前序：根最先访问；中序中间；后序根最后,简单,二叉树遍历,2,1,"2026-07-15 15:00:00"
数据结构,单选题,已知中序+后序遍历序列，能否唯一确定二叉树？,不能,可以,仅满二叉树可以,仅完全二叉树可以,B,中序搭配前序/后序都可以唯一还原二叉树,中等,遍历序列重构树,3,1,"2026-07-15 15:00:00"
数据结构,单选题,完全二叉树使用什么存储最合适？,链式存储,顺序数组存储,双向链表,三元组,A,完全二叉树节点连续排布，数组下标可以推导父子位置,简单,完全二叉树存储,2,1,"2026-07-15 15:00:00"
数据结构,单选题,堆排序采用哪种数据结构基础？,平衡树,完全二叉树,单链表,有向图,B,堆逻辑结构是完全二叉树，一般数组实现,简单,堆定义,2,1,"2026-07-15 15:00:00"
数据结构,单选题,小根堆特点描述正确？,父节点大于子节点,父节点小于等于左右子节点,所有左子树小于右子树,叶子结点数值最大,B,小顶堆：根最小，任意父节点 ≤ 孩子；大根堆相反,简单,大小堆区分,2,1,"2026-07-15 15:00:00"
数据结构,单选题,二叉搜索树(BST)性质？,左子树值≥根,左子树值<根，右子树>根,左右子树全部小于根,左右子树全部大于根,B,二叉查找树：左<根<右,简单,BST特性,2,1,"2026-07-15 15:00:00"
数据结构,单选题,最坏情况下二叉搜索树查找复杂度？,O(logn),O(n),O(1),O(nlogn),B,斜树形态BST退化，查找退化成链表O(n),中等,BST最坏复杂度,3,1,"2026-07-15 15:00:00"
数据结构,单选题,平衡二叉树(AVL树)平衡因子取值范围？,[-1,0,1],[-2,-1,0,1,2],任意整数,≥0,A,平衡因子=左高-右高，绝对值≤1；超过则失衡,简单,AVL平衡因子,2,1,"2026-07-15 15:00:00"
数据结构,单选题,红黑树最多黑色高度差？,0,1,2,无限制,B,红黑树规则保证最长路径不超过最短路径2倍，黑色高度差1,困难,红黑树特性,4,1,"2026-07-15 15:00:00"
数据结构,单选题,B树多用于？,内存排序,磁盘文件索引,字符串匹配,网络路由,B,B/B+树常用于数据库、文件系统磁盘索引,简单,B树应用场景,2,1,"2026-07-15 15:00:00"
数据结构,单选题,B+树所有关键字出现在？,根节点,叶子结点,非叶子结点,全部节点,B,B+树非叶子仅存索引，全部数据关键字存放叶子,中等,B+树特征,3,1,"2026-07-15 15:00:00"
数据结构,单选题,图结构中顶点的度指？,相连边数量,子节点数目,邻接矩阵大小,最短路径长度,A,顶点度：依附该顶点边总数；有向图区分入度出度,简单,图基础概念,2,1,"2026-07-15 15:00:00"
数据结构,单选题,有向图顶点入度代表？,向外出发边数量,指向该顶点边数量,总边数,连通分支数目,B,入度：指向顶点；出度：顶点向外发出,简单,入度出度,2,1,"2026-07-15 15:00:00"
数据结构,单选题,稠密图适合哪种存储结构？,邻接表,邻接矩阵,十字链表,邻接多重表,B,稠密图边数量接近最大值，邻接矩阵效率更高；稀疏图邻接表,中等,图存储选择,3,1,"2026-07-15 15:00:00"
数据结构,单选题,图的深度优先遍历简称？,BFS,DFS,KMP,Prim,B,DFS深度优先；BFS广度优先,简单,图遍历缩写,2,1,"2026-07-15 15:00:00"
数据结构,单选题,BFS遍历图依靠哪种结构实现？,栈,队列,二叉树,堆,B,广度优先一层一层遍历，使用队列；DFS用栈,简单,BFS辅助结构,2,1,"2026-07-15 15:00:00"
数据结构,单选题,求无向图最小生成树Prim算法适合？,稀疏图,稠密图,有向图,带负权图,B,Prim稠密图优秀；Kruskal适合稀疏图,中等,最小生成树算法适用场景,3,1,"2026-07-15 15:00:00"
数据结构,单选题,Kruskal最小生成树核心需要？,优先队列,并查集,平衡树,哈希表,B,Kruskal不断选最短边，用并查集检测环,中等,Kruskal原理,3,1,"2026-07-15 15:00:00"
数据结构,单选题,Dijkstra算法作用？,最小生成树,单源最短路径,拓扑排序,关键路径,B,Dijkstra求解单个起点到其余顶点最短路径,简单,Dijkstra功能,2,1,"2026-07-15 15:00:00"
数据结构,单选题,Dijkstra不能处理？,正权边,负权边,无向图,稠密图,B,存在负权边算法失效；Bellman-Ford支持负权,中等,Dijkstra局限性,3,1,"2026-07-15 15:00:00"
数据结构,单选题,拓扑排序针对哪种图？,无向图,有向无环图DAG,完全图,连通图,B,拓扑排序仅适用于有向无环图，有环无法生成序列,简单,拓扑排序前提,2,1,"2026-07-15 15:00:00"
数据结构,单选题,散列表(哈希表)冲突指？,哈希函数崩溃,不同关键字算出相同哈希地址,数组下标越界,链表循环,B,哈希冲突：key1≠key2，hash(key1)=hash(key2),简单,哈希冲突定义,2,1,"2026-07-15 15:00:00"
数据结构,单选题,下列不属于哈希冲突解决方法？,链地址法,开放寻址法,再哈希法,二分查找法,D,二分查找是检索算法，不解决冲突,简单,冲突解决方案,2,1,"2026-07-15 15:00:00"
数据结构,单选题,哈希表装填因子越大，冲突概率？,越小,越大,不变,无关联,B,装填因子=元素数量/表长，数值越大冲突越多,中等,装填因子,3,1,"2026-07-15 15:00:00"
数据结构,单选题,稳定排序含义是？,时间复杂度恒定,相等元素相对次序保持不变,不会发生内存溢出,可以无限递归,B,稳定排序：关键字相同元素原始先后顺序不变,简单,稳定排序定义,2,1,"2026-07-15 15:00:00"
数据结构,单选题,下面属于稳定排序的是？,快速排序,堆排序,冒泡排序,简单选择排序,C,冒泡、归并、插入稳定；快排、堆排、选择不稳定,中等,常见排序稳定性,3,1,"2026-07-15 15:00:00"
数据结构,单选题,快速排序平均时间复杂度？,O(n),O(nlogn),O(n²),O(logn),B,平均O(nlogn)；最坏有序数组退化O(n²),简单,快排复杂度,2,1,"2026-07-15 15:00:00"
数据结构,单选题,归并排序空间复杂度？,O(1),O(n),O(logn),O(n²),B,归并排序需要额外辅助数组，空间开销O(n),中等,归并排序空间复杂度,3,1,"2026-07-15 15:00:00"
数据结构,单选题,不需要额外辅助空间，原地排序是？,归并排序,快速排序,基数排序,希尔排序,B,快排原地分区；归并需要额外数组,中等,原地排序判断,3,1,"2026-07-15 15:00:00"
数据结构,单选题,基数排序排序依据？,直接比较数值,逐位进行分配收集,建立二叉堆,划分左右区间,B,基数排序基于多关键字，按数位排序,简单,基数排序原理,2,1,"2026-07-15 15:00:00"
数据结构,单选题,查找有序数组最优静态查找算法？,顺序查找,二分查找,哈希查找,树查找,B,有序数组二分查找O(logn),简单,二分查找适用场景,2,1,"2026-07-15 15:00:00"
数据结构,单选题,二分查找前提条件？,数组无序,数组有序且顺序存储,链式存储有序链表,任意线性表,B,二分依赖随机访问，有序链表无法高效二分,中等,二分查找限制,3,1,"2026-07-15 15:00:00"
数据结构,单选题,索引顺序查找分几级？,一级,两级,三级,四级,B,索引块+原始数据块两级结构,简单,分块查找结构,2,1,"2026-07-15 15:00:00"
数据结构,单选题,栈的进出序列，入栈1,2,3，不可能出栈序列？,1 2 3,3 2 1,3 1 2,2 1 3,C,3先出栈说明1、2压栈，出栈只能2先于1，无法出现3,1,2,中等,栈进出序列判断,3,1,"2026-07-15 15:00:00"
数据结构,单选题,递归程序底层依靠哪种数据结构？,队列,栈,哈希表,图,B,函数调用保存现场，使用调用栈,简单,递归与栈,2,1,"2026-07-15 15:00:00"
数据结构,单选题,广义表A=(a,(b,c,d)),表的长度为？,1,2,3,4,B,顶层两个元素：a 和子表(b,c,d)，长度2,中等,广义表长度深度,3,1,"2026-07-15 15:00:00"
数据结构,单选题,循环链表和单链表最大区别？,节点更小,尾结点指针指向头结点,支持随机访问,双向指针,B,循环链表尾节点next指向头部，可以环形遍历,简单,循环链表特点,2,1,"2026-07-15 15:00:00"
数据结构,单选题,若频繁在表头插入删除，优先选择？,顺序表,单链表,带头结点循环链表,数组,C,循环链表可直接保存尾指针，头尾操作便捷,中等,链表选型,3,1,"2026-07-15 15:00:00"
数据结构,单选题,算法具备的特性不包括？,有穷性,确定性,无限执行,输入输出,C,有穷性：算法必须有限步骤终止，不能无限运行,简单,算法五大特性,2,1,"2026-07-15 15:00:00"
数据结构,单选题,算法空间复杂度衡量？,程序代码大小,临时占用存储空间规模,硬盘占用,网络流量,B,空间复杂度评估运行时额外开辟内存大小,简单,空间复杂度定义,2,1,"2026-07-15 15:00:00"
数据结构,单选题,希尔排序基于哪种基础排序改进？,冒泡排序,直接插入排序,快速排序,选择排序,B,希尔排序是分组插入排序，优化简单插入排序,中等,希尔排序底层基础,3,1,"2026-07-15 15:00:00"
数据结构,单选题,简单选择排序交换次数最多？,n次,n-1次,n²次,logn次,B,每轮最多交换一次，n个元素最多n-1次交换,中等,选择排序特点,3,1,"2026-07-15 15:00:00"
数据结构,单选题,邻接矩阵判断两点有无边时间复杂度？,O(n),O(1),O(logn),O(n²),A,邻接矩阵G[i][j]直接读取，常量时间判断,简单,邻接矩阵查询,2,1,"2026-07-15 15:00:00"
数据结构,单选题,邻接表遍历某个顶点所有邻接点复杂度？,O(1),O(该顶点度),O(n),O(logn),B,仅遍历该顶点对应的链表节点，等于顶点度数,中等,邻接表遍历,3,1,"2026-07-15 15:00:00"
数据结构,单选题,哈夫曼树又称最优二叉树，目标最小化？,树高度,带权路径长度WPL,节点总数,叶子数量,B,哈夫曼树构造使所有叶子带权路径之和最小,简单,哈夫曼树目标,2,1,"2026-07-15 15:00:00"
数据结构,单选题,哈夫曼树中不存在？,度为1的节点,度为2的节点,叶子节点,根节点,A,构造规则：每次合并两棵树，不会产生度1结点,中等,哈夫曼树性质,3,1,"2026-07-15 15:00:00"
数据结构,单选题,哈夫曼编码属于？,定长编码,变长前缀编码,固定ASCII编码,游程编码,B,前缀编码，任一编码不会是另一个编码前缀,简单,哈夫曼编码类型,2,1,"2026-07-15 15:00:00"
数据结构,单选题,串模式匹配BF算法最坏复杂度？,O(n+m),O(n*m),O(n),O(log(n+m)),B,暴力匹配最坏双重循环，文本长度n模式m O(nm),中等,BF复杂度,3,1,"2026-07-15 15:00:00"
