subject,type,content,optionA,optionB,optionC,optionD,answer,analysis,difficulty,knowledgePoint,score,createdBy,createdTime
MySQL,单选题,"MySQL属于哪一类数据库？",层次数据库,网状数据库,关系型数据库,非关系型数据库,C,MySQL是典型的关系型数据库，采用二维表存储数据,简单,数据库分类,2,1,"2026-07-15 16:20:00"
MySQL,单选题,"MySQL默认端口号是？",21,80,3306,3389,C,3306 MySQL；21 FTP；80 HTTP；3389远程桌面,简单,基础配置,2,1,"2026-07-15 16:20:00"
MySQL,单选题,"创建数据库使用的SQL关键字是？",CREATE TABLE,CREATE DATABASE,ALTER DATABASE,DROP TABLE,B,CREATE DATABASE 创建数据库；CREATE TABLE 创建数据表,简单,DDL语句,2,1,"2026-07-15 16:20:00"
MySQL,单选题,"删除数据库命令为？",DELETE DATABASE,DROP DATABASE,REMOVE DATABASE,ALTER DATABASE,B,DROP删除库/表；DELETE删除表内数据,简单,DDL语句,2,1,"2026-07-15 16:20:00"
MySQL,单选题,"查询表中所有记录使用？",SELECT * FROM 表名,SELECT ALL FROM 表名,FIND * FROM 表名,GET * FROM 表名,A,*代表查询全部字段,简单,DML查询,2,1,"2026-07-15 16:20:00"
MySQL,单选题,"条件筛选关键字是？",GROUP BY,WHERE,ORDER BY,HAVING,B,WHERE筛选原始行数据；HAVING筛选分组之后的数据,简单,基础查询,2,1,"2026-07-15 16:20:00"
MySQL,单选题,"排序关键字是？",WHERE,GROUP BY,ORDER BY,LIMIT,C,ORDER BY ASC升序，DESC降序,简单,排序语法,2,1,"2026-07-15 16:20:00"
MySQL,单选题,"分页限制结果条数关键字？",OFFSET,LIMIT,MAX,COUNT,B,LIMIT 起始下标,条数，MySQL专用分页语法,简单,分页查询,2,1,"2026-07-15 16:20:00"
MySQL,单选题,"分组统计关键字？",ORDER BY,GROUP BY,WHERE,DISTINCT,B,GROUP BY按照指定字段分组，常配合聚合函数,简单,分组查询,2,1,"2026-07-15 16:20:00"
MySQL,单选题,"去除查询结果重复行关键字？",GROUP BY,UNION,DISTINCT,UNIQUE,C,DISTINCT 去重；UNIQUE是字段唯一约束,简单,去重语法,2,1,"2026-07-15 16:20:00"
MySQL,单选题,"向表插入数据关键字？",UPDATE,INSERT,SELECT,DELETE,B,INSERT INTO 表(字段) VALUES(),简单,新增语句,2,1,"2026-07-15 16:20:00"
MySQL,单选题,"修改表中已有数据命令？",INSERT,UPDATE,ALTER,MODIFY,B,UPDATE 表 SET 字段=值 WHERE 条件,简单,更新语句,2,1,"2026-07-15 16:20:00"
MySQL,单选题,"删除表内数据记录关键字？",DROP,TRUNCATE,DELETE,REMOVE,C,DELETE删除行；DROP删除整张表结构,简单,删除数据,2,1,"2026-07-15 16:20:00"
