subject,type,content,optionA,optionB,optionC,optionD,answer,analysis,difficulty,knowledgePoint,score,createdBy,createdTime
线性代数,单选题,"设矩阵A为3阶方阵，|A|=2，则|2A|=（）","4","6","16","8",C,"n阶方阵|kA|=k^n|A|，3阶：2^3*2=16",简单,方阵行列式性质,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"二阶行列式$\begin{vmatrix}1&2\\3&4\end{vmatrix}$的值为（）","-2","2","10","-10",A,"1*4 - 2*3 = -2",简单,二阶行列式计算,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"若A、B均为n阶方阵，AB=0，则（）","A=0或B=0","|A|=0或|B|=0","BA=0","|A|+|B|=0",B,"AB=0 ⇒ |AB|=|A||B|=0",中等,方阵行列式性质,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"n阶方阵A可逆的充要条件是（）","A≠0","r(A)<n","|A|≠0","A是对称矩阵",C,"方阵可逆等价于行列式不为零",简单,可逆矩阵判定,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"设A为可逆矩阵，则$(A^{-1})^{-1}=$（）","0","E","A","$A^T$",C,"逆矩阵基本性质",简单,逆矩阵运算,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"$(AB)^T=$（）","$A^TB^T$","$B^TA^T$","AB","BA",B,"矩阵转置性质：乘积转置颠倒顺序",简单,矩阵转置,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"若A,B均可逆，则$(AB)^{-1}=$（）","$A^{-1}B^{-1}$","$B^{-1}A^{-1}$","AB","BA",B,"逆矩阵乘积性质，顺序互换",简单,逆矩阵运算,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"3阶零矩阵的秩等于（）","0","1","2","3",A,"零矩阵所有元素为0，秩为0",简单,矩阵的秩定义,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"n阶单位矩阵E的行列式|E|=（）","0","1","n","-1",B,"单位矩阵主对角线全1，行列式等于1",简单,单位矩阵性质,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"向量组线性无关的定义是（）","存在不全为零系数组合等于零向量","只有系数全零时线性组合等于零向量","向量个数大于维数","向量内积全部为0",B,"线性无关标准定义",中等,向量线性无关,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"三元齐次线性方程组Ax=0有非零解充分必要条件（）","r(A)=3","r(A)<3","r(A)>3","A可逆",B,"齐次方程组有非零解 ⇔ 系数矩阵秩小于未知数个数",中等,齐次线性方程组,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"方阵A满足$A^2=A$，称A为（）","反对称矩阵","幂等矩阵","幂零矩阵","正交矩阵",B,"幂等矩阵定义$A^2=A$",简单,特殊矩阵定义,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"正交矩阵A满足（）","$A^T=A$","$A^TA=E$","$A^2=0$","|A|=0",B,"正交矩阵定义：转置等于逆矩阵$A^T=A^{-1}$，即$A^TA=E$",简单,正交矩阵,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"对称矩阵满足（）","$A^T=A$","$A^T=-A$","$A^2=E$","AB=BA",A,"对称矩阵定义：转置等于自身",简单,对称矩阵,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"反对称矩阵满足（）","$A^T=A$","$A^T=-A$","$A^{-1}=A$","$A^2=A$",B,"反对称矩阵定义",简单,反对称矩阵,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"设$\alpha=(1,2,3)$，$\beta=(4,5,6)$，内积$(\alpha,\beta)=$（）","32","28","20","14",A,"1*4+2*5+3*6=4+10+18=32",简单,向量内积,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"若向量$\alpha,\beta$正交，则内积$(\alpha,\beta)=$（）","1","0","-1","任意实数",B,"正交向量内积为0",简单,向量正交定义,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"矩阵初等行变换不改变（）","行列式值","矩阵的秩","矩阵特征值","矩阵迹",B,"初等变换不改变矩阵秩",中等,初等变换性质,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"矩阵$A=\begin{pmatrix}1&0\\0&0\end{pmatrix}$的秩r(A)=（）","0","1","2","3",B,"存在1阶非零子式，不存在2阶非零子式，秩=1",简单,矩阵求秩,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"n阶方阵可相似对角化的充分条件（）","n个互不相同特征值","行列式不为0","矩阵对称","秩等于n",A,"互不相同特征值对应特征向量线性无关，一定可对角化",中等,矩阵对角化,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"方阵A的迹tr(A)等于（）","所有元素之和","主对角线元素之和","特征值乘积","行列式的值",B,"迹定义为主对角线元素相加",简单,矩阵的迹,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"方阵A所有特征值乘积等于（）","tr(A)","|A|","r(A)","0",B,"特征值乘积 = 行列式；特征值之和 = 迹",中等,特征值性质,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"二次型标准形中平方项系数称为（）","特征向量","特征值","惯性指数","秩",C,"正、负惯性指数描述标准形正负系数数量",简单,二次型惯性指数,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"实对称矩阵不同特征值对应的特征向量（）","线性相关","相互正交","相等","成比例",B,"实对称矩阵性质：不同特征值特征向量正交",中等,实对称矩阵,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"三元非齐次线性方程组Ax=b有无穷多解条件（）","r(A)=r(\overline{A})=3","r(A)=r(\overline{A})<3","r(A)≠r(\overline{A})","r(A)=3",B,"增广矩阵秩=系数矩阵秩，小于未知数个数有无穷解",中等,非齐次线性方程组,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"非齐次方程组Ax=b无解条件（）","r(A)=r(\overline{A})","r(A)<r(\overline{A})","r(A)>r(\overline{A})","|A|≠0",B,"系数矩阵秩小于增广矩阵秩，方程组无解",中等,非齐次方程组解判定,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"向量组极大线性无关组的向量个数称为（）","秩","维数","长度","基数",A,"向量组秩定义：极大无关组所含向量数量",简单,向量组的秩,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"若向量组包含零向量，则向量组一定（）","线性无关","线性相关","正交","单位向量组",B,"含有零向量的向量组线性相关",简单,线性相关判定,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"3个二维向量构成向量组，必定（）","线性无关","线性相关","正交","标准化",B,"向量个数>向量维数，向量组线性相关",中等,向量相关性判定,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"设A是5×3矩阵，则Ax=0未知数个数为（）","5","3","8","15",B,"列数=未知数数量，行数代表方程数量",简单,矩阵与方程组维度,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"初等矩阵是由单位矩阵经过几次初等变换得到？（）","一次","两次","三次","任意次",A,"初等矩阵定义：单位矩阵做一次初等变换",简单,初等矩阵定义,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"左乘初等矩阵对应矩阵进行（）","列变换","行变换","转置","求逆",B,"左行右列；左乘初等矩阵=初等行变换",中等,初等矩阵作用,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"二次型正定的充要条件是全部（）","特征值大于0","特征值小于0","惯性指数为0","行列式大于0",A,"实二次型正定 ⇔ 所有特征值>0",中等,正定二次型,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"$\begin{vmatrix}1&0&0\\0&2&0\\0&0&3\end{vmatrix}=$（）","6","3","2","1",A,"对角行列式等于主对角线元素乘积1×2×3=6",简单,对角行列式,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"若A为n阶可逆矩阵，则r(A)=（）","0","小于n","等于n","无法确定",C,"可逆矩阵又称满秩矩阵，秩等于阶数",简单,满秩矩阵,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"矩阵等价的充要条件（同型矩阵）（）","行列式相等","秩相等","特征值相同","迹相等",B,"同型矩阵等价 ⇔ 矩阵秩相等",中等,矩阵等价,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"矩阵相似一定满足（）","秩相等","相等","正交","对称",A,"相似矩阵行列式、秩、迹、特征值全部相同",中等,相似矩阵性质,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"矩阵合同针对哪类矩阵讨论最多（）","反对称矩阵","实对称矩阵","正交矩阵","幂零矩阵",B,"二次型化简核心为实对称矩阵合同变换",简单,矩阵合同,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"施密特正交化作用是把线性无关向量组化为（）","单位向量组","正交向量组","等价向量组","特征向量组",B,"施密特正交化：线性无关向量组转为正交向量组",简单,施密特正交化,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"单位向量定义为向量模长等于（）","0","1","-1","任意正数",B,"$||\alpha||=1$称为单位向量",简单,单位向量定义,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"向量$\alpha=(3,4)$，模长$||\alpha||=$（）","5","7","25","12",A,"$\sqrt{3^2+4^2}=5$",简单,向量模长计算,2,1,"2026-07-15 10:00:00"
线性代数,单选题,"若A、B同阶可逆，则$(kA)^{-1}=$（k≠0）","$kA^{-1}$","$\dfrac{1}{k}A^{-1}$","$A^{-1}/k^n$","$k^nA^{-1}$",B,"数乘求逆公式$(kA)^{-1}=\dfrac1k A^{-1}$",中等,逆矩阵数乘运算,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"分块对角矩阵$A=\mathrm{diag}(A_1,A_2)$可逆，则$A^{-1}=$（）","$\mathrm{diag}(A_1^{-1},A_2^{-1})$","$\mathrm{diag}(A_1,A_2)$","$A_1^{-1}A_2^{-1}$","$A_2^{-1}A_1^{-1}$",A,"分块对角矩阵求逆，对角块各自求逆",中等,分块矩阵运算,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"n阶幂零矩阵满足$A^k=0$，则全部特征值等于（）","1","0","-1","无法确定",B,"幂零矩阵所有特征值都是0",中等,幂零矩阵特征值,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"齐次方程组基础解系所含向量个数等于（）","n-r(A)","r(A)","n","r(A)-n",A,"基础解系维数 = 未知数数量 - 系数矩阵秩",中等,基础解系,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"已知A特征值为λ，则$A^2$特征值为（）","λ","2λ","$\lambda^2$","$\sqrt{\lambda}$",C,"若$A\alpha=\lambda\alpha ⇒ A^2\alpha=\lambda^2\alpha$",中等,特征值运算性质,3,1,"2026-07-15 10:00:00"
线性代数,单选题,"设A特征值λ=2，则$A+E$一个特征值为（）","2","3","1","0",B,"$f(A)$特征值$f(\lambda)$，$f(x)=x+1$，代入得3",中等,矩阵多项式特征值,3,1,"2026-07-15 10:00:00"
